SAMAccountName,Description,Password,Password Expires,Path
MDT_BA,MDT Build Account,P@ssw0rd,False,"OU=Service Accounts,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
MDT_JD,MDT Join Domain Account,P@ssw0rd,False,"OU=Service Accounts,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
CM_CP,ConfigMgr Client Push Account,P@ssw0rd,False,"OU=Service Accounts,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
CM_SR,ConfigMgr Reporting Services Account,P@ssw0rd,False,"OU=Service Accounts,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
CM_JD,ConfigMgr Join Domain Account,P@ssw0rd,False,"OU=Service Accounts,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
Mike,Standard User,P@ssw0rd,False,"OU=Users,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
Johan,Standard User,P@ssw0rd,False,"OU=Users,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
Frank,Standard User,P@ssw0rd,False,"OU=Users,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
Bob,Standard User,P@ssw0rd,False,"OU=Users,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
Michael,Standard User,P@ssw0rd,False,"OU=Users,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
Pete,Standard User,P@ssw0rd,False,"OU=Users,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
Doris,Standard User,P@ssw0rd,False,"OU=Users,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
Ami,Standard User,P@ssw0rd,False,"OU=Users,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
Mathilda,Standard User,P@ssw0rd,False,"OU=Users,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
Markus,Standard User,P@ssw0rd,False,"OU=Users,OU=ViaMonstra,DC=corp,DC=viamonstra,DC=com"
